Produto,Categoria,Preço Unitário (R$),Quantidade Vendida,Total de Vendas (R$),Data da Venda
Vestuário Want,Vestuário,490.76,7,3435.32,2024-11-20
Eletrodomésticos Fill,Eletrodomésticos,2165.11,20,43302.2,2024-10-10
Vestuário Site,Vestuário,2518.34,5,12591.7,2024-04-18
Móveis Yard,Móveis,2296.06,4,9184.24,2024-07-04
Brinquedos Security,Brinquedos,2532.57,17,43053.69,2024-09-16
Eletrônicos Population,Eletrônicos,3676.8,2,7353.6,2024-04-02
Móveis Water,Móveis,1950.61,4,7802.44,2024-11-26
Vestuário Watch,Vestuário,3459.35,13,44971.55,2024-05-04
Brinquedos Bar,Brinquedos,4588.23,7,32117.61,2024-10-22
Brinquedos Treat,Brinquedos,2009.9,15,30148.5,2024-04-26
Móveis Tax,Móveis,3073.28,16,49172.48,2024-03-26
Eletrodomésticos I,Eletrodomésticos,4399.46,9,39595.14,2024-02-23
Brinquedos Now,Brinquedos,2796.06,16,44736.96,2024-03-12
Brinquedos Chair,Brinquedos,4066.47,16,65063.52,2024-10-20
Brinquedos Late,Brinquedos,1414.82,14,19807.48,2024-08-26
Móveis Point,Móveis,2014.51,2,4029.02,2024-05-26
Móveis Physical,Móveis,4834.64,11,53181.04,2024-04-21
Eletrodomésticos Final,Eletrodomésticos,1181.04,13,15353.52,2024-03-02
Vestuário Continue,Vestuário,2601.05,20,52021.0,2024-01-30
Brinquedos This,Brinquedos,4642.28,19,88203.32,2024-11-20
Vestuário Likely,Vestuário,690.46,8,5523.68,2024-05-01
Eletrodomésticos Begin,Eletrodomésticos,4449.7,19,84544.3,2024-03-28
Eletrônicos Property,Eletrônicos,2771.64,5,13858.2,2024-01-04
Vestuário Specific,Vestuário,3943.61,19,74928.59,2024-02-22
Eletrodomésticos Finish,Eletrodomésticos,1670.05,9,15030.45,2024-05-27
Vestuário Finally,Vestuário,3623.16,8,28985.28,2024-10-07
Brinquedos Approach,Brinquedos,1204.56,1,1204.56,2024-11-01
Móveis Life,Móveis,1331.31,20,26626.2,2024-01-16
Eletrônicos Deal,Eletrônicos,3949.11,5,19745.55,2024-02-07
Eletrodomésticos Business,Eletrodomésticos,3943.55,2,7887.1,2024-07-05
Eletrônicos Hair,Eletrônicos,2249.53,13,29243.89,2024-11-16
Vestuário Drop,Vestuário,3236.02,18,58248.36,2024-04-18
Vestuário Side,Vestuário,4045.42,17,68772.14,2024-07-15
Eletrônicos Across,Eletrônicos,3197.04,7,22379.28,2024-11-20
Brinquedos Realize,Brinquedos,3521.64,15,52824.6,2024-07-16
Eletrônicos Within,Eletrônicos,1198.32,17,20371.44,2024-06-24
Brinquedos Community,Brinquedos,603.74,1,603.74,2024-03-26
Brinquedos Example,Brinquedos,3073.62,12,36883.44,2024-07-14
Brinquedos Increase,Brinquedos,4719.28,15,70789.2,2024-05-15
Eletrodomésticos Attorney,Eletrodomésticos,1494.68,12,17936.16,2024-03-19
Brinquedos Hospital,Brinquedos,2350.61,2,4701.22,2024-07-27
Eletrônicos Current,Eletrônicos,4398.8,8,35190.4,2024-08-11
Vestuário Carry,Vestuário,4279.6,1,4279.6,2024-09-01
Eletrodomésticos Poor,Eletrodomésticos,1460.04,2,2920.08,2024-04-05
Eletrodomésticos Event,Eletrodomésticos,1045.78,3,3137.34,2024-01-23
Eletrodomésticos Between,Eletrodomésticos,205.28,4,821.12,2024-05-20
Eletrodomésticos Throughout,Eletrodomésticos,724.37,5,3621.85,2024-01-20
Móveis Subject,Móveis,4094.84,15,61422.6,2024-10-02
Eletrônicos Foot,Eletrônicos,302.35,11,3325.85,2024-03-19
Eletrodomésticos Age,Eletrodomésticos,642.08,11,7062.88,2024-02-10
Móveis Reveal,Móveis,3288.27,18,59188.86,2024-01-25
Brinquedos Administration,Brinquedos,1529.55,1,1529.55,2024-09-07
Vestuário Customer,Vestuário,3802.67,14,53237.38,2024-03-08
Eletrônicos Perhaps,Eletrônicos,2363.13,1,2363.13,2024-08-19
Brinquedos Sound,Brinquedos,2454.61,3,7363.83,2024-07-21
Eletrônicos Low,Eletrônicos,3716.55,14,52031.7,2024-03-03
Móveis Wife,Móveis,4869.43,1,4869.43,2024-05-04
Vestuário Would,Vestuário,66.75,14,934.5,2024-04-03
Vestuário Body,Vestuário,1236.88,10,12368.8,2024-03-03
Móveis Structure,Móveis,3039.84,12,36478.08,2024-03-18
Vestuário Almost,Vestuário,2813.04,11,30943.44,2024-09-07
Eletrônicos Alone,Eletrônicos,714.69,10,7146.9,2024-10-06
Móveis Never,Móveis,3436.25,15,51543.75,2024-03-27
Eletrônicos Us,Eletrônicos,2460.72,10,24607.2,2024-03-31
Brinquedos Customer,Brinquedos,268.49,9,2416.41,2024-03-10
Vestuário Question,Vestuário,1814.24,1,1814.24,2024-02-22
Eletrodomésticos Three,Eletrodomésticos,4081.23,1,4081.23,2024-05-30
Eletrônicos Drop,Eletrônicos,2748.07,9,24732.63,2024-11-20
Móveis Example,Móveis,4259.58,11,46855.38,2024-02-01
Móveis Civil,Móveis,265.85,2,531.7,2024-03-28
Eletrodomésticos Natural,Eletrodomésticos,1275.21,4,5100.84,2024-10-14
Brinquedos Relate,Brinquedos,4663.72,3,13991.16,2024-03-14
Eletrônicos Fish,Eletrônicos,3456.05,16,55296.8,2024-07-24
Vestuário Perform,Vestuário,4639.3,19,88146.7,2024-06-24
Eletrodomésticos Join,Eletrodomésticos,3158.37,4,12633.48,2024-03-23
Vestuário With,Vestuário,2441.34,16,39061.44,2024-04-05
Eletrônicos Approach,Eletrônicos,2065.17,16,33042.72,2024-02-19
Brinquedos Writer,Brinquedos,1036.6,1,1036.6,2024-08-11
Móveis Prevent,Móveis,1426.6,16,22825.6,2024-02-02
Vestuário Yet,Vestuário,3098.23,12,37178.76,2024-05-18
Eletrônicos Great,Eletrônicos,1822.88,20,36457.6,2024-06-02
Brinquedos Push,Brinquedos,1122.75,10,11227.5,2024-08-26
Brinquedos Sort,Brinquedos,2694.41,17,45804.97,2024-05-05
Eletrodomésticos Weight,Eletrodomésticos,2444.95,12,29339.4,2024-02-27
Eletrodomésticos Step,Eletrodomésticos,489.63,4,1958.52,2024-09-21
Brinquedos Total,Brinquedos,3211.24,11,35323.64,2024-11-06
Móveis Create,Móveis,1589.57,10,15895.7,2024-01-10
Brinquedos Democratic,Brinquedos,401.43,7,2810.01,2024-06-06
Móveis Board,Móveis,2786.92,1,2786.92,2024-10-23
Móveis Million,Móveis,4221.32,17,71762.44,2024-04-17
Brinquedos Run,Brinquedos,4453.54,13,57896.02,2024-11-09
Brinquedos Read,Brinquedos,4548.17,2,9096.34,2024-02-12
Móveis Thought,Móveis,3883.8,20,77676.0,2024-09-03
Brinquedos Place,Brinquedos,1825.58,2,3651.16,2024-11-16
Vestuário Could,Vestuário,3173.0,16,50768.0,2024-05-13
Vestuário Front,Vestuário,698.42,12,8381.04,2024-07-01
Eletrodomésticos School,Eletrodomésticos,2787.06,2,5574.12,2024-11-02
Móveis Professor,Móveis,1099.38,15,16490.7,2024-02-10
Vestuário Simple,Vestuário,3338.98,10,33389.8,2024-02-08
Móveis Heavy,Móveis,4469.75,20,89395.0,2024-02-29
Eletrodomésticos Doctor,Eletrodomésticos,1859.8,13,24177.4,2024-07-03
Eletrodomésticos Truth,Eletrodomésticos,1748.66,1,1748.66,2024-06-19
Vestuário Save,Vestuário,1513.9,16,24222.4,2024-01-05
Móveis Out,Móveis,793.59,4,3174.36,2024-09-25
Vestuário Program,Vestuário,2572.61,20,51452.2,2024-06-12
Eletrônicos Draw,Eletrônicos,1708.94,8,13671.52,2024-08-13
Eletrônicos Discuss,Eletrônicos,2411.51,14,33761.14,2024-07-17
Móveis Congress,Móveis,1804.93,4,7219.72,2024-05-23
Eletrodomésticos No,Eletrodomésticos,2865.49,18,51578.82,2024-10-08
Móveis Throw,Móveis,3143.69,18,56586.42,2024-04-15
Móveis Between,Móveis,3319.07,20,66381.4,2024-06-01
Brinquedos Sit,Brinquedos,1860.4,14,26045.6,2024-11-14
Eletrodomésticos Kind,Eletrodomésticos,201.87,15,3028.05,2024-03-24
Vestuário Heart,Vestuário,585.38,17,9951.46,2024-02-11
Brinquedos Guy,Brinquedos,3656.4,2,7312.8,2024-07-13
Eletrodomésticos Couple,Eletrodomésticos,1717.67,7,12023.69,2024-01-09
Brinquedos Each,Brinquedos,1355.36,2,2710.72,2024-05-27
Vestuário Rich,Vestuário,2562.56,1,2562.56,2024-05-25
Vestuário Probably,Vestuário,1497.78,5,7488.9,2024-06-01
Vestuário Nation,Vestuário,3739.39,5,18696.95,2024-04-08
Eletrodomésticos Man,Eletrodomésticos,3784.4,11,41628.4,2024-05-02
Móveis Determine,Móveis,1872.96,14,26221.44,2024-09-11
Eletrônicos Tv,Eletrônicos,4460.05,18,80280.9,2024-03-19
Brinquedos General,Brinquedos,4759.82,4,19039.28,2024-03-03
Eletrodomésticos Reduce,Eletrodomésticos,438.98,7,3072.86,2024-04-02
Brinquedos Key,Brinquedos,2323.16,8,18585.28,2024-03-28
Eletrônicos Film,Eletrônicos,1854.12,1,1854.12,2024-03-05
Vestuário Whose,Vestuário,3230.09,2,6460.18,2024-07-21
Eletrônicos Floor,Eletrônicos,4938.2,20,98764.0,2024-01-24
Eletrodomésticos Perform,Eletrodomésticos,3708.5,8,29668.0,2024-06-03
Móveis Shake,Móveis,3775.99,17,64191.83,2024-03-09
Eletrônicos Wall,Eletrônicos,4562.53,15,68437.95,2024-05-27
Brinquedos Do,Brinquedos,1472.07,8,11776.56,2024-01-26
Eletrônicos Door,Eletrônicos,573.68,17,9752.56,2024-03-04
Eletrodomésticos Recent,Eletrodomésticos,2931.26,19,55693.94,2024-06-20
Eletrodomésticos Thing,Eletrodomésticos,3920.8,2,7841.6,2024-01-13
Eletrodomésticos Four,Eletrodomésticos,2175.94,1,2175.94,2024-02-04
Brinquedos Could,Brinquedos,960.56,11,10566.16,2024-08-25
Móveis Skin,Móveis,4001.91,19,76036.29,2024-05-15
Eletrodomésticos If,Eletrodomésticos,3874.59,13,50369.67,2024-01-30
Vestuário Brother,Vestuário,3935.34,19,74771.46,2024-04-09
Móveis Necessary,Móveis,1104.76,20,22095.2,2024-07-07
Eletrodomésticos Local,Eletrodomésticos,106.88,14,1496.32,2024-01-27
Eletrodomésticos Resource,Eletrodomésticos,3796.38,13,49352.94,2024-03-16
Brinquedos Development,Brinquedos,2132.3,4,8529.2,2024-10-14
Brinquedos School,Brinquedos,3855.15,12,46261.8,2024-11-09
Vestuário Now,Vestuário,2697.33,4,10789.32,2024-10-28
Vestuário People,Vestuário,567.11,6,3402.66,2024-06-13
Brinquedos Identify,Brinquedos,1356.12,7,9492.84,2024-02-22
Móveis Worry,Móveis,2066.73,10,20667.3,2024-11-23
Eletrônicos Brother,Eletrônicos,611.43,17,10394.31,2024-01-20
Brinquedos War,Brinquedos,2784.42,4,11137.68,2024-04-18
Eletrodomésticos Three,Eletrodomésticos,2597.5,2,5195.0,2024-02-05
Eletrônicos Member,Eletrônicos,2891.75,14,40484.5,2024-04-29
Vestuário Figure,Vestuário,4453.02,13,57889.26,2024-11-23
Vestuário Particular,Vestuário,1166.51,19,22163.69,2024-07-21
Brinquedos Woman,Brinquedos,1685.56,13,21912.28,2024-06-06
Brinquedos Though,Brinquedos,2554.71,10,25547.1,2024-10-18
Vestuário Past,Vestuário,4214.69,9,37932.21,2024-07-02
Eletrônicos Tax,Eletrônicos,2216.7,6,13300.2,2024-03-06
Brinquedos Scene,Brinquedos,4503.77,14,63052.78,2024-05-04
Móveis Board,Móveis,1073.43,14,15028.02,2024-01-05
Eletrônicos Trip,Eletrônicos,1417.38,10,14173.8,2024-06-03
Móveis Hand,Móveis,2689.33,19,51097.27,2024-02-19
Eletrônicos Whose,Eletrônicos,3776.35,3,11329.05,2024-03-05
Eletrodomésticos Specific,Eletrodomésticos,494.06,11,5434.66,2024-07-05
Vestuário None,Vestuário,3998.86,4,15995.44,2024-09-09
Brinquedos Agent,Brinquedos,4015.19,14,56212.66,2024-07-02
Brinquedos Take,Brinquedos,3076.09,9,27684.81,2024-06-17
Brinquedos Population,Brinquedos,3945.25,1,3945.25,2024-05-02
Eletrônicos Part,Eletrônicos,4894.34,8,39154.72,2024-03-27
Móveis Goal,Móveis,4621.06,18,83179.08,2024-10-03
Brinquedos Left,Brinquedos,894.59,13,11629.67,2024-01-27
Eletrônicos Number,Eletrônicos,2892.09,20,57841.8,2024-07-07
Vestuário Fear,Vestuário,1885.9,20,37718.0,2024-08-15
Eletrodomésticos Same,Eletrodomésticos,767.94,11,8447.34,2024-03-08
Eletrônicos Already,Eletrônicos,2784.46,16,44551.36,2024-09-03
Vestuário Feeling,Vestuário,1704.87,14,23868.18,2024-04-21
Móveis Feel,Móveis,3304.36,12,39652.32,2024-06-22
Eletrodomésticos Whom,Eletrodomésticos,4758.37,16,76133.92,2024-05-16
Vestuário Traditional,Vestuário,4356.95,20,87139.0,2024-10-01
Eletrônicos All,Eletrônicos,848.09,16,13569.44,2024-06-08
Eletrônicos Entire,Eletrônicos,4517.43,15,67761.45,2024-03-18
Vestuário Commercial,Vestuário,4138.06,16,66208.96,2024-04-13
Móveis Provide,Móveis,3356.14,20,67122.8,2024-07-22
Vestuário Woman,Vestuário,849.62,8,6796.96,2024-07-04
Eletrônicos Quite,Eletrônicos,4944.25,10,49442.5,2024-11-01
Móveis Tree,Móveis,789.67,8,6317.36,2024-01-18
Eletrônicos Natural,Eletrônicos,2369.52,9,21325.68,2024-08-21
Eletrônicos Art,Eletrônicos,974.93,7,6824.51,2024-09-19
Eletrodomésticos Try,Eletrodomésticos,1915.89,19,36401.91,2024-03-03
Móveis Authority,Móveis,1228.71,3,3686.13,2024-10-12
Móveis Market,Móveis,1001.54,2,2003.08,2024-03-24
Eletrodomésticos To,Eletrodomésticos,3478.31,4,13913.24,2024-08-29
Eletrodomésticos Question,Eletrodomésticos,2692.48,3,8077.44,2024-02-18
Móveis Black,Móveis,3523.5,4,14094.0,2024-03-25
Eletrônicos Pull,Eletrônicos,2293.29,2,4586.58,2024-03-15
Móveis Since,Móveis,1343.75,11,14781.25,2024-07-19
Eletrodomésticos Money,Eletrodomésticos,3129.84,8,25038.72,2024-02-19
Eletrônicos Theory,Eletrônicos,355.31,13,4619.03,2024-05-26
Eletrodomésticos Major,Eletrodomésticos,1629.91,20,32598.2,2024-02-23
Vestuário West,Vestuário,1244.63,5,6223.15,2024-05-07
Vestuário Ok,Vestuário,2085.39,6,12512.34,2024-01-28
Eletrônicos Get,Eletrônicos,4021.37,11,44235.07,2024-07-09
Eletrônicos Social,Eletrônicos,2471.48,15,37072.2,2024-02-07
Vestuário Public,Vestuário,2786.51,15,41797.65,2024-04-03
Móveis Price,Móveis,238.03,7,1666.21,2024-07-16
Móveis Theory,Móveis,3881.3,6,23287.8,2024-11-07
Brinquedos Along,Brinquedos,432.1,5,2160.5,2024-06-20
Eletrônicos Chance,Eletrônicos,3573.95,13,46461.35,2024-03-27
Vestuário Position,Vestuário,1060.53,6,6363.18,2024-08-10
Eletrodomésticos End,Eletrodomésticos,1253.72,3,3761.16,2024-08-08
Eletrodomésticos Individual,Eletrodomésticos,1893.96,16,30303.36,2024-02-18
Móveis Product,Móveis,4313.23,3,12939.69,2024-03-12
Brinquedos Show,Brinquedos,3335.16,17,56697.72,2024-02-13
Eletrônicos Gas,Eletrônicos,118.2,5,591.0,2024-07-10
Eletrodomésticos Child,Eletrodomésticos,2029.52,9,18265.68,2024-01-07
Eletrônicos Charge,Eletrônicos,4782.51,19,90867.69,2024-09-24
Eletrodomésticos Team,Eletrodomésticos,3309.29,12,39711.48,2024-01-18
Eletrônicos Sell,Eletrônicos,3829.95,16,61279.2,2024-11-06
Brinquedos Seem,Brinquedos,1512.64,16,24202.24,2024-06-19
Brinquedos Head,Brinquedos,2672.95,3,8018.85,2024-03-28
Móveis Guess,Móveis,144.73,7,1013.11,2024-06-25
Brinquedos Particular,Brinquedos,4250.33,2,8500.66,2024-11-17
Eletrodomésticos Design,Eletrodomésticos,266.2,10,2662.0,2024-03-29
Eletrodomésticos Address,Eletrodomésticos,3909.42,15,58641.3,2024-07-24
Móveis Accept,Móveis,4802.66,2,9605.32,2024-07-25
Eletrônicos Side,Eletrônicos,939.62,13,12215.06,2024-06-19
Eletrodomésticos Range,Eletrodomésticos,2041.64,15,30624.6,2024-04-28
Móveis Consumer,Móveis,1166.23,9,10496.07,2024-10-20
Eletrônicos I,Eletrônicos,1605.04,17,27285.68,2024-09-21
Eletrônicos Family,Eletrônicos,2639.21,20,52784.2,2024-05-27
Móveis Fish,Móveis,3075.87,7,21531.09,2024-02-01
Móveis Power,Móveis,1227.94,10,12279.4,2024-03-28
Brinquedos Our,Brinquedos,365.59,16,5849.44,2024-04-21
Eletrônicos Price,Eletrônicos,3566.43,17,60629.31,2024-05-05
Vestuário Together,Vestuário,2570.57,16,41129.12,2024-01-30
Eletrônicos Glass,Eletrônicos,594.95,19,11304.05,2024-02-23
Brinquedos Majority,Brinquedos,4876.47,14,68270.58,2024-10-16
Vestuário Trade,Vestuário,1301.52,20,26030.4,2024-10-04
Vestuário Pull,Vestuário,1694.54,12,20334.48,2024-01-24
Eletrodomésticos Mission,Eletrodomésticos,510.3,6,3061.8,2024-07-17
Eletrônicos Stop,Eletrônicos,4984.75,12,59817.0,2024-08-10
Eletrodomésticos Agency,Eletrodomésticos,3076.32,8,24610.56,2024-08-05
Vestuário Probably,Vestuário,3372.11,19,64070.09,2024-07-09
Eletrônicos Amount,Eletrônicos,1864.34,7,13050.38,2024-09-01
Eletrodomésticos Pattern,Eletrodomésticos,2499.34,5,12496.7,2024-07-18
Brinquedos Trade,Brinquedos,2179.06,7,15253.42,2024-03-18
Brinquedos Center,Brinquedos,54.24,14,759.36,2024-08-24
Móveis None,Móveis,2423.19,13,31501.47,2024-02-26
Eletrônicos Law,Eletrônicos,256.4,1,256.4,2024-01-11
Vestuário Enjoy,Vestuário,434.27,2,868.54,2024-02-15
Vestuário Enjoy,Vestuário,418.69,19,7955.11,2024-07-27
Brinquedos Above,Brinquedos,1784.1,7,12488.7,2024-09-02
Eletrodomésticos Bank,Eletrodomésticos,3456.7,20,69134.0,2024-07-01
Eletrodomésticos First,Eletrodomésticos,1413.58,13,18376.54,2024-10-08
Vestuário Pick,Vestuário,4946.94,2,9893.88,2024-09-04
Móveis At,Móveis,2623.04,8,20984.32,2024-08-16
Eletrodomésticos After,Eletrodomésticos,3193.38,14,44707.32,2024-07-26
Vestuário Strong,Vestuário,4198.25,2,8396.5,2024-06-12
Vestuário Represent,Vestuário,96.01,7,672.07,2024-05-19
Brinquedos Position,Brinquedos,574.86,18,10347.48,2024-02-18
Brinquedos Lawyer,Brinquedos,3910.83,14,54751.62,2024-05-17
Eletrodomésticos Sister,Eletrodomésticos,3684.9,3,11054.7,2024-07-03
Vestuário Thousand,Vestuário,2515.66,12,30187.92,2024-08-07
Eletrônicos Finally,Eletrônicos,1899.09,18,34183.62,2024-09-09
Eletrodomésticos Work,Eletrodomésticos,4674.48,2,9348.96,2024-04-14
Brinquedos Pull,Brinquedos,2543.66,3,7630.98,2024-10-13
Eletrodomésticos Sort,Eletrodomésticos,4647.64,2,9295.28,2024-04-13
Eletrodomésticos Gas,Eletrodomésticos,3946.88,17,67096.96,2024-06-04
Brinquedos Back,Brinquedos,2259.7,5,11298.5,2024-10-31
Brinquedos Because,Brinquedos,3095.97,19,58823.43,2024-07-12
Eletrônicos Its,Eletrônicos,4429.64,7,31007.48,2024-11-18
Vestuário Avoid,Vestuário,3998.4,5,19992.0,2024-10-26
Brinquedos Exist,Brinquedos,1229.13,2,2458.26,2024-11-04
Eletrodomésticos Between,Eletrodomésticos,566.87,3,1700.61,2024-07-24
Móveis Meet,Móveis,3652.16,6,21912.96,2024-09-25
Móveis Property,Móveis,1019.32,15,15289.8,2024-02-03
Eletrodomésticos Read,Eletrodomésticos,2418.84,9,21769.56,2024-07-11
Vestuário Almost,Vestuário,4495.83,9,40462.47,2024-07-07
Móveis School,Móveis,502.84,4,2011.36,2024-02-22
Eletrônicos Dinner,Eletrônicos,3172.79,20,63455.8,2024-08-14
Eletrodomésticos Collection,Eletrodomésticos,2156.78,7,15097.46,2024-04-05
Vestuário Example,Vestuário,4428.03,10,44280.3,2024-01-04
Vestuário Doctor,Vestuário,1539.81,18,27716.58,2024-07-25
Eletrodomésticos Throw,Eletrodomésticos,552.05,13,7176.65,2024-09-01
Vestuário Hope,Vestuário,4975.78,12,59709.36,2024-11-11
Vestuário Goal,Vestuário,1044.75,18,18805.5,2024-05-10
Eletrônicos Expect,Eletrônicos,1681.7,18,30270.6,2024-01-26
Móveis Computer,Móveis,3346.39,18,60235.02,2024-02-21
Móveis Over,Móveis,4128.89,8,33031.12,2024-04-21
Eletrodomésticos Modern,Eletrodomésticos,3293.02,3,9879.06,2024-11-03
Eletrônicos Major,Eletrônicos,4677.41,8,37419.28,2024-04-01
Eletrônicos They,Eletrônicos,3613.34,15,54200.1,2024-03-09
Eletrodomésticos Allow,Eletrodomésticos,2408.37,5,12041.85,2024-05-05
Móveis Road,Móveis,92.37,1,92.37,2024-07-19
Eletrônicos Specific,Eletrônicos,869.69,13,11305.97,2024-06-19
Eletrodomésticos Record,Eletrodomésticos,2849.61,14,39894.54,2024-06-28
Vestuário Thing,Vestuário,4267.06,10,42670.6,2024-06-04
Eletrodomésticos Analysis,Eletrodomésticos,3225.01,18,58050.18,2024-02-11
Móveis Tax,Móveis,1202.62,14,16836.68,2024-11-26
Eletrônicos Address,Eletrônicos,2611.21,8,20889.68,2024-03-31
Eletrônicos Ahead,Eletrônicos,1854.04,12,22248.48,2024-05-17
Móveis Every,Móveis,2487.15,11,27358.65,2024-10-26
Eletrônicos Account,Eletrônicos,2043.75,15,30656.25,2024-02-18
Eletrodomésticos Instead,Eletrodomésticos,1291.83,12,15501.96,2024-04-17
Eletrônicos Learn,Eletrônicos,3255.76,18,58603.68,2024-03-07
Eletrônicos Part,Eletrônicos,484.4,7,3390.8,2024-09-17
Brinquedos Or,Brinquedos,4523.88,19,85953.72,2024-09-26
Móveis Relate,Móveis,807.3,17,13724.1,2024-10-07
Eletrônicos Successful,Eletrônicos,2981.6,13,38760.8,2024-09-30
